fold,arm,agg_auc_pr,sub_recall
0,selfcheckgpt,92.61738168449895,63.513513513513516
0,bs_baseline,91.69990940806512,33.78378378378378
0,bs_bayesian,91.828347848173,33.78378378378378
0,bs_graph,91.89032590105614,36.486486486486484
0,cascade,92.45844104340264,85.13513513513513
1,selfcheckgpt,91.40315238319259,74.24242424242425
1,bs_baseline,90.96311837230957,48.484848484848484
1,bs_bayesian,90.51935856732692,45.45454545454545
1,bs_graph,90.44074087562461,37.878787878787875
1,cascade,91.24061251893325,86.36363636363636
2,selfcheckgpt,91.80581558556182,69.11764705882354
2,bs_baseline,91.54486394608683,30.88235294117647
2,bs_bayesian,91.73143488373707,27.941176470588236
2,bs_graph,91.7756243540882,29.41176470588235
2,cascade,92.13396412138424,94.11764705882354
3,selfcheckgpt,93.75384725639813,65.95744680851064
3,bs_baseline,93.86687864555805,29.78723404255319
3,bs_bayesian,92.70516428674566,36.170212765957444
3,bs_graph,92.91118210245183,36.170212765957444
3,cascade,93.90034886487416,91.48936170212765
4,selfcheckgpt,93.50207657716957,67.14285714285714
4,bs_baseline,93.27226719684188,22.857142857142858
4,bs_bayesian,93.95197441687432,25.714285714285715
4,bs_graph,93.71894632266927,27.142857142857142
4,cascade,93.57085492980892,82.85714285714286
